#,Market,Quantity
1.,India,108796
2.,"United Kingdom",8846
3.,Brazil,889
4.,Canada,545
5.,"United States of America",392
6.,Australia,156
7.,"Sri Lanka",150
8.,Pakistan,143
9.,Indonesia,141
10.,Italy,75
11.,Nepal,71
12.,Germany,65
13.,Russia,61
14.,Bangladesh,60
15.,France,60
16.,"United Arab Emirates",58
17.,Japan,44
18.,Philippines,31
19.,Belgium,31
20.,"New Zealand",31
21.,Romania,30
22.,Spain,27
23.,Norway,25
24.,"Saudi Arabia",24
25.,Netherlands,24
26.,Malaysia,24
27.,Singapore,21
28.,Portugal,18
29.,Kuwait,14
30.,Switzerland,14
31.,Greece,14
32.,Sweden,9
33.,Thailand,9
34.,Poland,9
35.,"Hong Kong",9
36.,Qatar,8
37.,Peru,8
38.,"South Africa",7
39.,Denmark,7
40.,Turkey,7
41.,Mexico,6
42.,Cyprus,6
43.,Seychelles,6
44.,Cambodia,6
45.,Ukraine,6
46.,Finland,5
47.,Austria,5
48.,Oman,5
49.,"South Korea",4
50.,Uganda,4
51.,Kazakhstan,4
52.,Bhutan,4
53.,Ireland,4
54.,Lithuania,3
55.,Croatia,3
56.,Georgia,3
57.,"Czech Republic",3
58.,Estonia,3
59.,Egypt,3
60.,Colombia,3
61.,Chile,3
62.,China,2
63.,Malta,2
64.,Bahrain,2
65.,Lebanon,2
66.,Nigeria,2
67.,Jordan,2
68.,Jersey,2
69.,Israel,2
70.,"Bosnia and Herzegovina",2
71.,Bulgaria,2
72.,Mauritius,1
73.,Senegal,1
74.,"Dominican Republic",1
75.,Guatemala,1
76.,Belarus,1
77.,Myanmar,1
78.,Hungary,1
79.,"United Republic of Tanzania",1
80.,Maldives,1
81.,Luxembourg,1
82.,Argentina,1
83.,Angola,1
84.,Uzbekistan,1
85.,Vietnam,1
86.,Guernsey,1
